community,census_tract,county,hardship_index,ma_percentile,pop_total,percapita_income,percent_not_hs_grad,percent_unemployed,percent_dependent,percent_poverty,percent_crowding
South Boston,603.01, Suffolk County,24.51303172752444,12,3432,51432,10.2,3.5,23.099999999999994,8.4,2.6
,4003, Norfolk County,24.51711174448988,12,4403,57284,4.6,3.2,32.8,10.9,1.4
,3574, Middlesex County,24.518783363940944,12,2310,64837,1.3,4.9,46.8,3.9,0
,3261.01, Middlesex County,24.530314784268437,12,4204,54685,0.8,5.4,40.50000000000001,5,0
,2054, Essex County,24.556102799722098,12,4811,40758,3,5.9,33.5,1,0.3
,4164, Norfolk County,24.580004740502844,12,6139,51363,0.8,4.1,41.5,2.3,0.7
,7382.02, Worcester County,24.598515675402002,12,5904,50636,4.7,3.2,37.8,6.1,0
,6002.03, Bristol County,24.606444080973983,12,5561,47808,3.4000000000000004,3.8,40.1,2.1,0
,3381, Middlesex County,24.609968205319433,13,3049,56702,2.8,6.1,42.900000000000006,0.3,0
,7281, Worcester County,24.616665520840247,13,4173,48184,2.5,4.5,38.099999999999994,4.3,0
,3362, Middlesex County,24.671586197013692,13,6095,49407,4.6,1.3,40.699999999999996,3.4,0.8
,4134.01, Norfolk County,24.685950418324833,13,2974,48127,2.1,3.7,37.2,4.9,0.8
,1204, Suffolk County,24.697581499047345,13,6613,46537,2.7,4.5,25.299999999999997,16.3,0.6
,3151, Middlesex County,24.71182886605175,13,5982,42594,6,4,33.900000000000006,3.6,0
,7181, Worcester County,24.71595655600208,13,4432,47406,5.2,4.3,36.8,3.3,0
,5012.01, Plymouth County,24.71880215768159,13,3810,69279,0.8,6.7,46.199999999999996,2.5,0.8
,4141, Norfolk County,24.72591849462798,13,5538,55327,1.3,5.7,39.5,2,1.3
,4033, Norfolk County,24.72784842624814,13,4230,72669,2.8000000000000003,2.8,46.8,1.5,3.1
,3611, Middlesex County,24.752123342504323,13,6053,78353,2.6,4.7,50.599999999999994,7.2,0
,4231, Norfolk County,24.769382747081497,13,8281,64730,3.4,5.1,42.10000000000001,5.1,0.8
,4153, Norfolk County,24.771088909914038,13,3748,59502,1.1,5.9,41,1.7,1.6
,4121, Norfolk County,24.778268679980453,13,6523,56507,1.1,4.2,46.8,1.7,0
,3231, Middlesex County,24.782162427928398,13,6957,51081,0.7,4.3,41.89999999999999,4.5,0
,2544.03, Essex County,24.797148440433777,14,3994,62054,2.4,6.4,42.099999999999994,4.9,0
,3371.02, Middlesex County,24.824297994564443,14,4960,46904,5,4.9,36.400000000000006,3,0
,2011, Essex County,24.847100866087903,14,3454,49473,2.9,4.6,38.5,4.9,0
,2032, Essex County,24.850888239331862,14,4808,63987,2.1,4.5,46.4,3.5,0.5
,2651.01, Essex County,24.871741477981363,14,3835,50352,4.6,4.1,40.8,2,0
West Roxbury,1303, Suffolk County,24.880893883342225,14,4680,50684,2.8,7.3,37.599999999999994,0.2,0.5
,3825, Middlesex County,24.890145926259894,14,4651,45059,3.9,4.3,36.300000000000004,3.3,0.4
Cambridge,3532, Middlesex County,24.921062941462548,14,5178,40817,5.7,5.9,16.5,15.4,1.5
Downtown/Chinatown/LeatherDistrict,303, Suffolk County,24.989993682164734,14,5511,82812,12,6.8,25.200000000000003,17.8,2.6
,3826.02, Middlesex County,24.992338697061715,14,4458,56225,2.3,5.9,42.7,2.7,0
,3398.01, Middlesex County,25.006915374856362,14,4826,51992,9.5,4.3,26.19999999999999,8,2.1
,8133.04, Hampden County,25.008763784439086,14,3900,61079,2.5999999999999996,4.5,43,7.5,0
,3584, Middlesex County,25.009875837241882,14,5033,66334,3.7,3.9,47.4,4.1,0.4
,5401.03, Plymouth County,25.027224683088832,14,4357,41985,6.6,3.5,34.10000000000001,4.6,0
,2664, Essex County,25.055549973627823,15,3664,37575,3.9,4.2,32.400000000000006,4.7,0.3
,4161.02, Norfolk County,25.06437506765505,15,4101,35412,4.1,5.3,31.799999999999997,2.9,0
,2661, Essex County,25.074131580199776,15,4001,43912,4,4.9,32.80000000000001,4.9,0.8
,2172.02, Essex County,25.077401060642533,15,3424,44844,6,5.4,34.2,3.4,0
,3201.02, Middlesex County,25.122170589410384,15,5349,56228,1.1,6.7,38.4,2.1,1.8
,2161, Essex County,25.14991728644784,15,5092,42046,2.0999999999999996,6.6,33.30000000000001,2.7,0.7
,3632.01, Middlesex County,25.160577142604215,15,3433,55291,3.0999999999999996,6.9,39.7,3.6,0
,2604.02, Essex County,25.18114131286693,15,6116,44014,4.8,5.2,34.2,2.7,0.7
Somerville,3501.03, Middlesex County,25.18529514777605,15,1320,39338,4.3,5.9,19,7.7,3.5
,3566.01, Middlesex County,25.234441385089315,15,4289,52546,3.5,3.6,36.3,5.5,2
,4034, Norfolk County,25.260892681376905,15,6725,63869,2.3,6.7,44.400000000000006,4.7,0
,3631.03, Middlesex County,25.29583993294089,15,3671,57049,1.8,8.4,39.6,0.9,0.9
,4142, Norfolk County,25.29756724864667,15,7366,63532,2.5,5.7,44,1.9,1.5
,2691, Essex County,25.302001612955646,15,6854,45827,3.4000000000000004,5.1,37.800000000000004,4,0
,2611.01, Essex County,25.346521343167613,15,4644,36447,0.7999999999999999,4.8,36.5,3.6,0
,3738, Middlesex County,25.354856084835646,16,5995,61580,1.2,4,42.9,6.5,1.6
,3821, Middlesex County,25.369706883340793,16,5067,47073,1.7,3.6,44.099999999999994,2.3,0
,7271, Worcester County,25.37807248666847,16,4860,36384,4.5,2.7,34.80000000000001,3.1,0.8
,2233, Essex County,25.41631289077368,16,5620,48208,1.2000000000000002,4.7,41.7,2.1,0.7
,2031, Essex County,25.42172757134668,16,6937,54811,3.1,3.6,45.2,4.2,0
,3593, Middlesex County,25.436856483002384,16,7314,55856,1.4,6.5,39,3.5,1.5
,3746, Middlesex County,25.457227453101748,16,4755,52949,3.1,8.1,37.2,2.8,0.4
Somerville,3512.04, Middlesex County,25.484073435254214,16,4178,35959,3,9.3,16.30000000000001,14.2,0.7
,3641.01, Middlesex County,25.50219366223386,16,5308,48042,5,3.4,37.00000000000001,8.5,0
,7308.01, Worcester County,25.502879568802566,16,3630,49029,2.9,4.6,41.7,3.6,0
,4113.02, Norfolk County,25.518012531418297,16,3921,45068,8,2.9,34.900000000000006,3.5,1.1
,2631, Essex County,25.519636293413097,16,4427,55028,2.5999999999999996,4.9,41.39999999999999,7.2,0
,3335.01, Middlesex County,25.53844165432062,16,5134,39632,2.5,2.7,36.60000000000001,6.6,0.5
Cambridge,3525, Middlesex County,25.552886712171695,16,2842,45975,6.199999999999999,6.5,18,17.2,1.6
,3563, Middlesex County,25.553636148503127,17,5053,44200,6.6,6,33.89999999999999,2.9,0.2
Cambridge,3531.01, Middlesex County,25.563041806706284,17,2525,39173,6,4.5,12.800000000000011,22,2
Somerville,3511, Middlesex County,25.57322512167968,17,6090,41526,9.9,3.1,22.299999999999997,11.6,1.8
,4071, Norfolk County,25.576887260018335,17,8051,43739,2.3000000000000003,5.1,36.3,6.8,0
,5051.01, Plymouth County,25.601765474600366,17,6474,48405,1.9,5.5,42.400000000000006,2.2,0
,1803.01, Suffolk County,25.61093382393983,17,3105,46796,2.4,4.4,38.50000000000001,5.4,0.6
,7401.02, Worcester County,25.63130246645675,17,6063,41120,3,3.5,39.4,4.2,0
Somerville,3503, Middlesex County,25.637250549759756,17,2591,40079,7.4,6.9,21.799999999999997,8.1,1.5
,8133.01, Hampden County,25.64770282931532,17,7487,49033,5.699999999999999,4.9,38.400000000000006,3.2,0.4
,409, Franklin County,25.651467219413394,17,5070,38379,3.2,4.1,34.099999999999994,7.5,0
,3575, Middlesex County,25.654013291903848,17,2088,48493,0.6,4.1,41.2,3.6,1.3
,8214, Hampshire County,25.734379894926736,17,5324,39502,3.9,1.4,37.599999999999994,6.8,0.6
,7282, Worcester County,25.74728748128339,17,3852,40793,2.7,6,37.6,2.2,0
,7511.01, Worcester County,25.754740779753334,17,6144,39139,4.2,2.5,38.6,5.1,0
,3321, Middlesex County,25.767466685823297,17,6187,41458,5,3.3,40.49999999999999,0,0.6
,7201, Worcester County,25.76994747173437,18,3456,48739,0.8,6.1,36.9,7.5,0.6
,3342, Middlesex County,25.775212290105674,18,3997,49119,4.800000000000001,5.7,38.8,2.1,0.6
,6102.02, Bristol County,25.777392916416616,18,5332,47637,4.8,5.1,36.89999999999999,2.3,1.3
,4143, Norfolk County,25.78333932073197,18,5091,50436,2.6,3.3,43.2,4.6,0.6
,4180.03, Norfolk County,25.80851161028896,18,2708,36745,7.9,7.2,19.700000000000003,13.1,0
,7261, Worcester County,25.820775334564647,18,6195,36067,4.2,5.7,31,6.4,0
,8224.01, Hampshire County,25.82197807395011,18,5499,40277,7.800000000000001,3,36.1,4.2,0
,5421.01, Plymouth County,25.843083850274535,18,7568,38977,3.3,7.3,32.5,2.1,0.7
,6332, Bristol County,25.8558881252554,18,6208,38903,6.5,5.6,34.5,1.9,0
,4123, Norfolk County,25.862008325225002,18,4897,60289,7,5.1,43.7,0.7,1
,7211.02, Worcester County,25.872677371480183,18,8316,37178,1.1,6,36.400000000000006,2.4,0.4
,3161.01, Middlesex County,25.88675912459898,18,5062,38296,4,5.8,36.6,1.5,0
,3341, Middlesex County,25.88705965900023,18,7314,48131,0.8,5.7,39.8,4.7,0.7
,5307, Plymouth County,25.8975323954006,18,4649,55199,1.2,5.1,45.4,5.3,0
,2004, Dukes County,25.921609710885402,19,4150,41420,1.8,3.2,37.7,9,0.1
,3740, Middlesex County,25.935728694963004,19,5388,53480,2.4,6.3,37.1,8.6,0.6
,1804, Suffolk County,25.945972733505055,19,1933,35068,4.300000000000001,3.2,36.199999999999996,4.9,0
,7328.01, Worcester County,25.955923910613038,19,4519,37329,10,0.9,30.099999999999994,11.6,0
